gastvrouw	'xAst-frA+w
naturel	na-ty-'rEl
wedstrijddag	'wEts-trE+-dAx
raketmotor	ra-'kEt-mo-tOr
tipmuts	'tIp-mYts
vijfduizend	'vE+v-dY+-z@nt
puntlijn	'pYnt-lE+n
driekwartbroek	'drik-wArd-bruk
aartsbedriegster	'ardz-b@-drix-st@r
prulpo&euml;et	'prYl-po-wet
legertraining	'le-G@-rtre-nIN
controverse	kOn-tro-'vEr-s@
rechtsverfijning	'rExts-f@r-fE+-nIN
neuspulker	'n2s-pYl-k@r
kachel	'kA-x@l
improductiviteit	Im-pro-dYk-ti-vi-'tE+t
spontane&iuml;teit	spOn-ta-ne-ji-'tE+t
negenenzestighonderd	ne-G@-n@n-'zEs-t@x-hOn-d@rt
pigmentvreter	pIG-'mEnt-fre-t@r
trechtermond	'trEx-t@r-mOnt
retourenveloppe	r@-'tur-An-v@-lOp
taakverdeling	'tak-f@r-de-lIN
kruisjessteek	'krY+s-j@s-tek
veroudering	v@r-'A+-d@-rIN
stikster	'stIk-st@r
aanbodeconomie	'am-bo-d@-ko-no-mi
basgitarist	bA-sxi-ta-'rIst
bouwstop	'bA+w-stOp
loonpost	'lom-pOst
hellebaardier	hE-l@-bar-'dir
indexpolis	'In-dEks-po-l@s
duingrond	'dY+N-GrOnt
schapengal	'sxa-p@-GAl
interkabinettenwerkgroep	'In-t@r-ka-bi-nE-t@n-wErk-xrup
toneelredacteur	to-'nel-re-dAk-t2r
scheepskist	'sxeps-kIst
omkeerfilm	'Om-ker-fIlm
pistache	pis-'tA-S@
scharnierbloem	sxAr-'nir-blum
marbel	'mAr-b@l
softwarepolitie	sOft-wa-r@-po-'lit-si
snip	'snIp
toebroek	'tu-bruk
constitutie	kOn-sti-'ty-tsi
rijschoolhouder	'rE+-sxol-hA+-d@r
schranzerij	sxrAn-z@-'rE+
proefschool	'pruf-sxol
kanotocht	ka-'no-tOxt
gorgeldrank	'xOr-G@l-drANk
tweedeklasser	twe-d@-'klA-s@r
daghuurvrouw	'dAx-hyr-vrA+w
achtenzestigduizend	Ax-t@n-zEs-t@G-'dY+-z@nt
cursistenbegeleidster	'kYr-sIs-t@m-be-G@-lE+t-stEr
verzoeningsvrede	v@r-'zu-nINs-fre-d@
rijknecht	'rE+-knExt
russofobie	rY-so-fo-'bi
ezelskop	'e-z@ls-kOp
lasdoos	'lAz-dos
m&aacute;xima-afdeling	'mAk-si-ma-Av-de-lIN
debatwedstrijd	de-bAt-wEts-'trE+t
retsina	'rEt-si-na
powerpointpresentatie	po-w@r-po-wInt-pre-z@n-'tat-si
lenteroos	'lEn-t@-ros
gijk	'xE+k
natuurmens	na-'tyr-mEns
boormal	'bor-mAl
duimstok	'dY+m-stOk
molenaar	'mo-l@-nar
waggelbuik	'wA-G@l-bY+k
adventist	At-fEn-'tIst
spinnendraad	'spI-n@-drat
intake	'In-tek
dieseltrein	'di-s@l-trE+n
schrapping	'sxrA-pIN
verfrest	'vErf-rEst
puzzelaarster	'pY-z@-lar-st@r
artikelcode	Ar-'ti-k@l-ko-d@
tijdgrens	'tE+t-xrEns
citroenappel	si-'trun-A-p@l
hoofdspeelster	'hovt-spel-st@r
handdoek	'hAn-duk
zoeloe-medicijnman	'zu-lu-me-di-'sE+-mAn
fysionomist	fi-zi-jo-no-'mIst
daikin-ploeg	'de-kIm-'plux
teemkous	'tem-kA+s
woonvorm	'won-vOrm
druipoog	'drY+p-ox
onvrede	'On-vre-d@
zoelte	'zul-t@
pronkappel	'prONk-A-p@l
ladderstoel	'lA-d@r-stul
opvoedingssituatie	'Op-fu-dIN-si-ty-wa-tsi
letterrevolver	'lE-t@-r@-vOl-v@r
vld-fractieleider	ve-El-de-'frAk-si-lE+-d@r
dienaresse	di-na-'rE-s@
staalwol	'stal-wOl
loftrompet	'lOf-trOm-pEt
vogeljacht	'vo-G@l-jAxt
behuwdbroeder	b@-'hywd-bru-d@r
wand	'wAnt
ritselaar	'rIt-s@-lar
raketinstallatie	ra-'kEt-In-stA-la-tsi
pvda-fractievoorzitter	pe-ve-de-'a-'frAk-si-vor-zI-t@r
zorglocatie	zOr-Glo-'kat-si
gezondheidsmaatregel	x@-'zOnt-hE+ts-mat-re-G@l
oliebroek	'o-li-bruk
verpakkingstechnologie	v@r-'pA-kIN-stEx-no-lo-Gi
schaarsteontwikkeling	sxar-ste-jOnt-'wI-k@-lIN
hanenkam	'ha-n@-kAm
cadettenschool	ka-'dE-t@-sxol
sauna	'sA+-na
tuniek	ty-'nik
leerling-journalist	'ler-lIN-Zur-na-lIst
windmolen	'wInd-mo-l@
postvak	'pOst-fAk
dienster-kokkin	'din-st@r-'kO-kIn
totempaal	'to-t@m-pal
verzekeringsinspecteur	v@r-'ze-k@-rINs-In-spEk-t2r
machinetaal	mA-'Si-n@-tal
leesbevordering	'lez-b@-vOr-d@-rIN
koffiekom	'kO-fi-kOm
vrouwenmoordenaar	'vrA+-w@-mor-d@-nar
architectuur	Ar-Si-tEk-'tyr
spermatocyt	spEr-ma-to-'sit
manillatabak	ma-'nI-la-ta-bAk
prostituee	prOs-ti-ty-'we
benzinebom	bEn-'zi-n@-bOm
benzinebon	bEn-'zi-n@-bOn
geloofsdwang	x@-'lovs-dwAN
narcose	nAr-'ko-z@
muizegerst	'mY+-z@-GErst
slacht	'slAxt
kabelpont	'ka-b@l-pOnt
promotiepartij	pro-'mo-tsi-pAr-tE+
sikkel	'sI-k@l
voorhang	'vor-hAN
bierbuik	'bir-bY+k
sinterklaasshow	'sIn-t@r-klas-hOw
banengroei	'ba-n@-Gruj
waterkoker	'wa-t@r-ko-k@r
dijkage	dE+-'ka-Z@
denkgemeenschap	'dENk-x@-men-sxAp
rentebrief	'rEn-t@-brif
cpb-directeur	se-pe-be-di-rEk-'t2r
kamerdeur	'ka-m@r-d2r
zoetsappigheid	zut-'sA-p@x-hE+t
stafhouder	'stAf-hA+-d@r
verantwoordelijkheidsverdeling	v@-rAnt-'wor-d@-l@k-hE+ts-f@r-de-lIN
wrong	'wrON
kreeftenvangst	'kref-t@-vANst
jaarplanning	'jar-plE-nIN
vorstbalk	'vOrzd-bAlk
oksel	'Ok-s@l
hangdag	'hAN-dAx
crawford-stemming	'krAw-fOrt-'stE-mIN
overtolligheid	o-v@r-'tO-l@x-hE+t
bloemkroon	'blum-kron
ingetogenheid	'IN-G@-to-G@-hE+t
polikliniek	po-li-kli-'nik
provisiebasis	pro-'vi-si-ba-z@s
wijnoogst	'wE+n-oxst
televisieverslaggever	te-l@-'vi-zi-v@r-slA-Ge-v@r
dat-recorder	'dAt-ri-kor-d@r
caisson	kE-'sO~
mediasensatie	me-di-ja-z@n-'zat-si
hondenren	'hOn-d@-rEn
aankoopbevordering	'aN-ko-b@-vOr-d@-rIN
slaphartigheid	slAp-'hAr-t@x-hE+t
immaturiteit	I-ma-ty-ri-'tE+t
meerman	'mer-mAn
zebrahuid	'ze-bra-hY+t
kernzin	'kErn-zIn
loonderving	'lon-d@r-vIN
apertuur	a-pEr-'tyr
zeerot	'ze-rOt
hervalling	hEr-'vA-lIN
mantelzorg	'mAn-t@l-zOrx
riks	'rIks
zaalatletiek	'za-lAt-le-tik
wasopruimer	wa-sOp-'rY+-m@r
vitaminedragee	vi-ta-'mi-n@-dra-Ze
jubileumuitgave	jy-bi-l2-'mY+t-xa-v@
mannenmoed	'mA-n@-mut
mosselhandelaar	'mO-s@l-hAn-d@-lar
bosaap	bo-'sap
busonderneming	'bYs-On-d@r-ne-mIN
tetanie	te-ta-'ni
homofiel	ho-mo-'fil
tijdcyclus	'tE+t-sik-lYs
verlening	v@r-'le-nIN
peut	'p2t
diplomatentaal	di-plo-'ma-t@-tal
doorverbind	'dor-v@r-bInt
veeweider	've-wE+-d@r
cipressenboom	si-'prE-s@-bom
ti&euml;rcering	ti-jEr-'se-rIN
peul	'p2l
watervlakte	'wa-t@r-vlAk-t@
volkswil	'vOlks-wIl
catechiseermeester	kA-t@-xi-'zer-mes-t@r
groepage	xru-'pa-Z@
zak	'zAk
genialiteit	xe-ni-ja-li-'tE+t
fis	'fis
ererol	'e-r@-rOl
dwangvoorstelling	'dwAN-vor-stE-lIN
wimpel	'wIm-p@l
fit	'fIt
spierzwakte	'spirz-wAk-t@
documentatiefunctie	do-ky-mEn-'ta-tsi-fYNk-si
fix	'fIks
herstelfase	hEr-'stEl-fa-z@
inas	'i-nAs
voorjaarsdag	'vor-jarz-dAx
gladjanus	'xlAt-ja-nYs
populatiebiologie	po-py-'la-tsi-bi-jo-lo-Gi
luchtstroming	'lYxts-tro-mIN
kerkgevel	'kErk-xe-v@l
bouwteamconstructie	bA+w-te-jAm-kOns-'trYk-si
strontraper	'strOnt-ra-p@r
staatsterreur	'stat-st@-r2r
koffiezak	'kO-fi-zAk
fik	'fIk
transsubstantiatie	trAn-sYp-stAn-'Sa-tsi
aspot	'As-pOt
schroefnagel	'sxruf-na-G@l
projectontwikkelaar	pro-'jEkt-Ont-wI-k@-lar
hoofdpijnpati&euml;nt	'hoft-pE+m-pA-SEnt
prioriteitenlijst	pri-jo-ri-'tE+-t@n-lE+st
g8-top	xe-'jAx-tOp
postwet	'pOst-wEt
sleepketting	'slep-kE-tIN
buitenlucht	'bY+-t@-lYxt
terugweg	t@-'rYG-wEx
hulder	'hYl-d@r
hoofdvakker	'hoft-fA-k@r
onderwijs-tv	'On-d@r-wE+s-te-ve
kampvechter	'kAmp-fEx-t@r
guavetak	xy-'wa-v@-tAk
beroepswerkzaamheid	b@-'rups-wErk-sam-hE+t
onvoorspelbaarheid	On-vors-'pEl-bar-hE+t
galnotenboom	'xAl-no-t@-bom
verbloeming	v@r-'blu-mIN
effects	@-'fEkts
huisvrouw	'hY+s-frA+w
stressreductie	'strEs-r@-dYk-si
woekerzucht	'wu-k@r-zYxt
scheepsdokter	'sxebz-dOk-t@r
voedselbron	'vut-s@l-brOn
strafbaarheid	'strAv-bar-hE+t
foronomie	fo-ro-no-'mi
voorspelddoek	'vor-spEl-duk
kokkin	kO-'kIn
cvp-top	se-ve-pe-'tOp
drostendienst	'drOs-t@-dinst
hoofdcommissaris	'hoft-kO-mI-sa-r@s
ijzerwarenwinkel	'E+-z@r-wa-r@n-wIN-k@l
nierpapil	'nir-pa-pIl
toetsenist	tut-s@-'nIst
compostwal	kOm-pOst-'wAl
mirtenkrans	'mIr-t@-krAns
geplogenheid	x@-'plo-G@-hE+t
samenwerkingsovereenkomst	'sa-m@n-wEr-kINs-o-v@r-eN-kOmst
antiallergieneusspray	An-ti-jA-l@r-'Gi-n2s-prAj
verfransing	v@r-'frAn-sIN
middagwandeling	'mI-dAx-wAn-d@-lIN
vleeskleur	'vles-kl2r
verstrooidheid	v@r-'strojt-hE+t
bewegingsvrijheid	b@-'we-GINs-frE+-hE+t
zuil	'zY+l
jandoedel	jAn-'du-d@l
zomeravond	'zo-m@r-a-vOnt
ambtsverrichting	'Amts-f@-rIx-tIN
jagermeester	'ja-G@r-mes-t@r
volkswoningbouw	'vOlk-swo-nIN-bA+w
autohandel	'A+-to-hAn-d@l
nabootsing	'na-bot-sIN
termijnnotering	tEr-'mE+-no-te-rIN
erudiet	E-ry-'dit
zeeschade	'ze-sxa-d@
verpakkingsindustrie	v@r-'pA-kINs-In-dYs-tri
kringtaal	'krIN-tal
maancirkel	'man-sIr-k@l
projectco&ouml;rdinator	pro-'jEkt-ko-wOr-di-'na-tOr
plaatsbal	'platz-bAl
zilverdoek	'zIl-v@r-duk
oogontsteking	'oG-Ont-ste-kIN
prekliniek	'prEk-li-nik
herautsstaf	he-'rA+t-stAf
ivbo-vbo-school	'Iv-bo-ve-be-'o-'sxol
octrooihoudster	Ok-'troj-hA+t-st@r
belastinginning	b@-lAs-tI-'NI-nIN
brandstofreserve	'brAnt-stOf-r@-zEr-v@
golem	'xo-lEm
driehoeksrelatie	'dri-huks-r@-la-tsi
rugsproeier	'rYx-spru-j@r
dashond	'dAs-hOnt
ouderavond	'A+-d@r-a-vOnt
walvisvloot	'wAl-vIs-flot
windveer	'wInt-fer
komvorm	'kOm-vOrm
realpolitik	re-'jal-po-li-tik
autoverschrikker	'A+-to-v@r-sxrI-k@r
keuvelaarster	'k2-v@-lar-st@r
aanpeil	'am-pE+l
koekprent	'kuk-prEnt
straatslijper	'strat-slE+-p@r
zelfmoordaddict	'zElf-mor-dA-dIkt
plp-werktijd	pe-El-pe-'wErk-tE+t
afgodstempel	'Af-xOts-tEm-p@l
theaterschool	te-'ja-t@r-sxol
lijnuitgang	'lE+n-Y+t-xAN
vertrouwensfunctie	v@r-'trA+-w@s-fYNk-si
linkerkolom	'lIN-k@r-ko-lOm
wolkensliert	'wOl-k@-slirt
caf&eacute;tafel	ka-'fe-ta-f@l
steenkolenmijn	'steN-ko-l@-mE+n
stamping	'stAm-pIN
kraanbestuurder	'kram-b@-styr-d@r
tachygrafie	tA-xi-Gra-'fi
adresband	A-'drEz-bAnt
vice-fractievoorzitter	'vi-s@-'frAk-si-vor-zI-t@r
biomassa	'bi-jo-mA-sa
geldmarkt	'xEld-mArkt
tennisvereniging	'tE-n@s-f@-re-n@-GIN
zomergroente	'zo-m@r-Grun-t@
worger	'wOr-G@r
uienschil	'Y+-j@-sxIl
vuilophaaldienst	'vY+l-Op-hal-dinst
kettingbrug	'kE-tIN-brYx
koeienstaart	'ku-j@-start
gerechtsdeurwaarder	x@-'rEGdz-d2r-war-d@r
varkenspest	'vAr-k@ns-pEst
regenzone	're-G@n-zO:-n@
butterflyfiguur	'bY-t@r-fli-fi-Gyr
instructie	In-'strYk-si
schrijnwerkerij	'sxrE+n-wEr-k@-rE+
tophoreca	'tOp-ho-re-ka
rotsmoes	'rOts-mus
milieuadministratie	mIl-j2-jAt-mi-nIs-'trat-si
rijtuigverhuurder	'rE+-tY+x-f@r-hyr-d@r
willigheid	'wI-l@x-hE+t
onthoudersbeweging	Ont-'hA+-d@rz-b@-we-GIN
kwakkeljacht	'kwA-k@l-jAxt
emancipatieactiviteit	e-mAn-si-'pat-si-jAk-ti-vi-tE+t
koersrekening	'kurs-re-k@-nIN
kinderboekenweek	'kIn-d@r-bu-k@-wek
sereh	se-'re
oorlogsweduwe	'or-lOxs-we-dy-w@
jumbojet	'jYm-bo-jEt
iepziekte	'ip-sik-t@
afwasbak	'Af-wAz-bAk
boxermotor	'bOk-s@r-mo-tOr
flageolettoon	fla-Zo-'lE-ton
jaarmarkt	'jar-mArkt
kerkzaal	'kErk-sal
toelatingskaart	'tu-la-tINs-kart
plasticfolie	'plEs-tIk-fo-li
commentatrice	kO-mEn-ta-'tri-s@
breedbandtelevisie	'bred-bAn-te-l@-vi-zi
veinzaard	'vE+n-zart
buffervoorraad	'bY-f@r-vo-rat
stiefzuster	'stif-sYs-t@r
kousenbroek	'kA+-s@-bruk
sollicitatiepot	sO-li-si-'tat-si-pOt
weekendretour	'wi-kEnd-r@-tur
trekezel	'trEk-e-z@l
groepspraktijk	'xrups-prAk-tE+k
triviaallitteratuur	tri-vi-'ja-li-t@-ra-tyr
protserij	prOt-s@-'rE+
bokser	'bOk-s@r
propagandacompagnie	pro-pa-'GAn-da-kOm-pA-Ji
topontmoeting	to-'pOnt-mu-tIN
wetenschapsfilosoof	'we-t@-sxAps-fi-lo-sof
idee&euml;nleer	i-'de-j@n-ler
volkstoeloop	'vOlk-stu-lop
chevron	S@-'vrOn
verkondschapping	v@r-'kOnt-sxA-pIN
leesnatuur	'les-na-tyr
clementie	kl@-'mEn-si
zeevalk	'ze-vAlk
hardrijder	'hArd-rE+-d@r
rood-zwart	'rot-'swArt
compounddynamo	kOm-'pA+n-di-na-mo
verantwoording	v@r-'Ant-wor-dIN
service	'sYr-v@s
ontploffing	Ont-'plO-fIN
meerkeuzetoets	mer-'k2-z@-tuts
afspanning	'Af-spA-nIN
mastel	mAs-'tEl
korting	'kOr-tIN
triakel	tri-'ja-k@l
kinderschaar	'kIn-d@r-sxar
beademingspijpje	b@-a-d@-mINs-'pE+p-j@
idealisering	i-de-ja-li-'ze-rIN
master	'mAs-t@r
agglomeratieraad	A-Glo-m@-'rat-si-rat
kopermuziek	'ko-p@r-my-zik
greco-trui	'xre-ko-'trY+
handspiegel	'hAnt-spi-G@l
genesis	'xe-n@-zIs
literatuurwetenschapper	li-t@-ra-'tyr-we-t@-sxA-p@r
puntdoek	'pYn-duk
benzinedistributie	bEn-'zi-n@-dIs-tri-by-tsi
stifttand	'stIf-tAnt
leeneed	'len-et
assertiviteitscursus	A-sEr-ti-vi-'tE+ts-kYr-zYs
naschrijver	'na-sxrE+-v@r
normverlaging	'nOrm-v@r-la-GIN
rommel	'rO-m@l
peetoom	'pet-om
hyperkritiek	'hi-p@r-kri-tik
kuitendekker	'kY+-t@-dE-k@r
internationaliseringsproblematiek	'In-t@r-nats-jO-na-li-ze-rINs-pro-ble-ma-tik
gildenmeester	'xIl-d@-mes-t@r
mailtrein	'mel-trE+n
maandaanbieding	'man-dam-bi-dIN
cisterne	sIs-'tEr-n@
routine-operatie	'ru-tI-n@-o-p@-'rat-si
waarheidscommissie	war-hE+ts-kO-'mI-si
praler	'pra-l@r
openbaringsleer	o-p@m-'ba-rINs-ler
wolbij	'wOl-bE+
liniaallijn	li-ni-ja-'lE+n
humoraalpathologie	hy-mo-'ral-pA-to-lo-Gi
belangenvermenging	b@-'lA-N@n-v@r-mE-NIN
evenredigheid	e-v@n-'re-d@x-hE+t
kneippkuur	'knE+p-kyr
masthoogte	'mAs-tox-t@
velling	'vE-lIN
doceermethode	do-'ser-me-to-d@
priv&eacute;-rondleiding	pri-'ve-rOnd-lE+-dIN
bijbelpassage	'bE+-b@l-pA-sa-Z@
aankomstlijn	'aN-kOms-tlE+n
schuur	'sxyr
pianojuf	pi-ja-'no-jYf
zuiveringsactie	'zY+-v@-rINs-Ak-si
criminalistiek	kri-mi-na-lIs-'tik
longslagader	'lON-slAG-a-d@r
feeling	'fi-lIN
rustverstoorder	'rYst-f@r-stor-d@r
welzijnszorg	'wEl-zE+n-sOrx
crisistijd	'kri-s@s-tE+t
borstspeld	'bOrst-spElt
sprokkel	'sprO-k@l
myositis	mi-jo-'zi-t@s
tweeheid	'twe-hE+t
velaar	ve-'lar
ravitaillering	ra-vi-tA-'je-rIN
genieting	x@-'ni-tIN
nierziekte	'nir-zik-t@
a-leider	'a-'lE+-d@r
allerijl	'A-l@r-E+l
klappertuin	'klA-p@r-tY+n
zenmeditatie	zE-m@-di-'tat-si
gifkikker	'xIf-kI-k@r
eenheidsvisie	'en-hE+ts-fi-zi
algengroei	'Al-G@-Gruj
aderontsteking	'a-d@r-Ont-ste-kIN
minimumweg	mi-ni-'mYm-wEx
looprail	'lop-rel
langdurigewerklozenpopulatie	lAN-dy-ri-Ge-w@r-klo-z@m-po-py-'lat-si
onweersstoring	'On-wer-sto-rIN
harddrug	'hAr-drYk
geleitaart	Z@-'lE+-tart
trein	'trE+n
vormvariant	'vOrm-va-ri-jAnt
vragenrubriek	'vra-G@-ry-brik
schrijversfiguur	'sxrE+-v@rs-fi-Gyr
referentiekaart	re-f@-'rEn-si-kart
affaire	A-'fE:-r@
boedelafscheiding	'bu-d@l-Af-sxE+-dIN
verpleegafdeling	v@r-'plex-Av-de-lIN
schadeplichtigheid	sxa-d@-'plIx-t@x-hE+t
bochtigheid	'bOx-t@x-hE+t
knaller	'knA-l@r
bonenzaaier	'bo-n@-za-j@r
informaticus	In-fOr-'ma-ti-kYs
stuurkolom	'styr-ko-lOm
laserprinter	'la-s@r-prIn-t@r
einde-uitspraak	'E+n-d@-'Y+ts-prak
ezelsbank	'e-z@lz-bANk
benefietwedstrijd	be-n@-'fit-wEt-strE+t
kruimelvlaai	'krY+-m@l-vlaj
kunstborst	'kYns-dbOrst
spalking	'spAl-kIN
padvinderij	pAt-fIn-d@-'rE+
zuidpunt	'zY+t-pYnt
denkoperatie	'dENk-o-p@-ra-tsi
scheepsproviand	'sxeps-pro-vi-jAnt
blankvoorn	'blANk-forn
brandraam	'brAn-dram
overkapitalisatie	'o-v@r-kA-pi-ta-li-za-tsi
documentatie	do-ky-mEn-'ta-tsi
steentijdjager	'sten-tE+d-ja-G@r
zift	'zIft
koning-stadhouder	ko-nIN-'stAt-hA+-d@r
achteruitgang	'Ax-t@r-Y+t-xAN
eindsprint	'E+nt-sprInt
vriendenschaar	'vrin-d@-sxar
tast	'tAst
gewetensplicht	x@-'we-t@s-plIxt
oefenwedstrijd	'u-f@n-wEt-strE+t
melancholica	me-lAN-'xo-li-ka
evangelietaal	e-vAN-'Ge-li-tal
getuigenis	x@-'tY+-G@-nIs
honkslag	'hONk-slAx
piklepel	'pIk-le-p@l
aardkuil	'art-kY+l
meidans	'mE+-dAns
beleidskader	b@-'lE+ts-ka-d@r
adressenbank	A-'drE-s@-bANk
slotcadens	'slOt-ka-dEns
singel	'sI-N@l
kookschool	'kok-sxol
geluidskaart	x@-'lY+ts-kart
inkomensbron	'IN-ko-m@z-brOn
tirailleur	ti-rA-'j2r
oermythe	'ur-mit-h@
leeswijzer	'les-wE+-z@r
baarmoederspier	'bar-mu-d@rs-pir
kepie	'ke-pi
orkestbak	Or-'kEzd-bAk
migratiegolf	mIx-'rat-si-GOlf
pech	'pEx
bankroof	'bANk-rof
schuldvergiffenis	'sxYlt-f@r-GI-f@-nIs
gezagvoerder	x@-'zAx-fur-d@r
paddel	'pA-d@l
coldturkeymethode	kOl-'tYr-ki-me-to-d@
